chain,date,fees_eth,tvl_usd,dex_vol_btc,dex_vol_eth,dex_vol_stable,borrow_vol_btc,borrow_vol_eth,borrow_vol_stable,stablecoin_supply,eth_open,eth_high,eth_low,n_tx,total_dex_vol,total_borrow_vol,dex_btc_share,dex_eth_share,borrow_btc_share,borrow_eth_share,eth_volatility
arbitrum,2025-01-12,3.237279055,2953204409,25400912.43,105358654.2,113865702.83,56106.36652,541351.6156,3598074.4016,3293192729.0,3285.716103,3290.733668,3239.968973,1546136,244625269.45999998,4195532.38372,0.10383601206069777,0.43069407519744307,0.013372883674479679,0.1290304938893134,0.015450116019959697
arbitrum,2025-01-13,43.80585023,2938342188,99715110.6,390629667.3,446245639.8,1104196.522,11341704.66,16025122.777999999,3211119760.0,3299.195098,3299.195098,3006.821846,3069175,936590417.7,28471023.96,0.10646608027965092,0.4170763013562273,0.03878316858400761,0.39835956289926144,0.08861957032405857
arbitrum,2025-01-14,8.69803865,2863174885,66348883.49,241336586.7,265029400.87,470030.3164,2051904.941,11552205.35,3129165071.0,3133.342438,3232.170151,3133.342438,2080540,572714871.06,14074140.6074,0.11584976546391969,0.42139046652189444,0.03339673302346178,0.1457925565928434,0.03154066781895726
arbitrum,2025-01-15,20.34380923,2897146307,71641158.02,311327750.5,305038486.46000004,740799.0356,2233895.146,18717832.572,3000597746.0,3226.523937,3448.855822,3196.397636,2167257,688007394.98,21692526.7536,0.10412847091866297,0.45250640148867893,0.034149965285950844,0.10297994195762705,0.07824463445163024
arbitrum,2025-01-16,17.23185085,3019648874,76226146.97,291947311.6,317990372.43,361078.8451,2932224.438,10564534.811999999,2924705281.0,3423.52042,3423.52042,3293.9557,2205001,686163831.0,13857838.095099999,0.11109030165421237,0.42547755858032105,0.026055928971177263,0.21159320940809714,0.03784546434807007
arbitrum,2025-01-17,12.54335571,2961944076,92758190.75,306009604.2,305372038.71,2285542.268,1597212.298,21190640.314,2818703602.0,3312.648353,3498.9653,3312.648353,2064598,704139833.66,25073394.88,0.13173262797512617,0.434586412487721,0.09115408100652066,0.06370147742833299,0.05624410657148909
arbitrum,2025-01-18,15.3046589,3089878925,78850692.47,384200588.8,446454605.4,258701.9146,4480265.094,18684069.138,2687222955.0,3480.383683,3480.383683,3253.595453,2593046,909505886.67,23423036.1466,0.08669618704580166,0.4224278197985993,0.011044764349968874,0.19127601844436115,0.065161847272113
arbitrum,2025-01-19,63.21877489,2992315907,229741824.5,910341432.9,917492100.9,2888771.822,10361068.62,53137623.984,2610183913.0,3308.523005,3423.065929,3157.545973,3260831,2057575358.3000002,66387464.426,0.11165657849334673,0.4424340664986082,0.04351381464824617,0.1560696542575316,0.0802533201669547
arbitrum,2025-01-20,104.4041232,2913065996,327851944.0,1083132232.0,1196222528.7,4417439.273,8156338.785,38903221.394,2581766625.0,3192.116234,3402.699166,3189.079591,3519441,2607206704.7,51476999.452,0.125748351064372,0.4154378055439342,0.08581384540719132,0.15844627448819004,0.06692098888025633
arbitrum,2025-01-21,16.12546022,2952752798,161530866.6,497050030.7,593827170.5999999,1327345.531,4392816.633,20980829.446,2623680963.0,3259.530015,3346.927923,3231.37587,2878908,1252408067.8999999,26700991.61,0.128976226471337,0.3968754621115133,0.049711469535943575,0.1645188574702526,0.03545052583293986
arbitrum,2025-01-22,6.782293686,3048430805,82375580.35,255893467.0,307361703.11,429267.2354,2983800.965,9274714.791,2534607805.0,3332.405477,3340.716727,3240.366221,2221440,645630750.46,12687782.9914,0.12758930749706224,0.39634646710628424,0.033833116131554646,0.23517118530656397,0.030113534110002838
arbitrum,2025-01-23,98.31538404,3012139496,209299922.4,541539721.7,653793249.7,2864678.318,4601332.046,15253209.755,2567185263.0,3247.929495,3328.658027,3200.780119,2760098,1404632893.8000002,22719220.119000003,0.14900684963583186,0.38553825991854324,0.12609052172544777,0.20253036952408074,0.039372131752508976
arbitrum,2025-01-24,8.445478625,3064504056,111276892.5,382198482.8,415451950.2,3140603.382,4267196.979,13295529.479,2614214247.0,3323.765338,3406.576042,3298.107681,2557510,908927325.5,20703329.84,0.12242661143319318,0.4204939955895297,0.15169556811736523,0.20611162609965936,0.032634181408627526
arbitrum,2025-01-25,3.860637815,3063306542,40707745.51,166910912.9,169403014.05,555534.1989,1660311.899,9628647.268,2533096149.0,3300.129647,3345.396634,3284.609073,2031606,377021672.46000004,11844493.365899999,0.10797189786037796,0.4427090671232125,0.04690231838023305,0.14017584777243378,0.01841974937416757
arbitrum,2025-01-26,3.577654635,3049299510,38473307.92,142238492.5,157907581.17,66516.18624,996519.7812,5900687.5208,2558769269.0,3321.841805,3349.753849,3259.919199,1611233,338619381.59000003,6963723.48824,0.11361815067804784,0.4200541972290948,0.009551813243637448,0.14310157243935295,0.027043626781017117
arbitrum,2025-01-27,23.60904439,3018433281,131295066.3,452479475.4,537998395.4,1166047.278,5758810.642,31535061.145000003,2462352381.0,3232.526242,3232.526242,3059.692579,2662093,1121772937.1,38459919.065000005,0.1170424619437006,0.403361019360787,0.030318505767765576,0.14973538119690785,0.05346705643232946
arbitrum,2025-01-28,8.784380881,2950068615,70121789.56,261593019.0,306225103.37,975990.5223,1545634.588,13060112.661,2437717559.0,3182.650496,3216.730627,3063.433401,1905385,637939911.9300001,15581737.7713,0.10991911345984938,0.41005902610574413,0.06263682117008007,0.09919526375594025,0.04816652855620378
arbitrum,2025-01-29,10.26023421,2921799442,67143645.23,291574119.1,320126530.75,1736410.78,5030350.984,13841398.528099999,2261747403.0,3094.382803,3154.335787,3091.776164,1816745,678844295.08,20608160.292099997,0.09890875671583467,0.42951545916083567,0.08425840809602213,0.2440951017800629,0.020217157017337554
arbitrum,2025-01-30,3.595607089,2951791930,71497794.92,255214758.7,262914315.69,806937.4049,2552512.254,14641421.367999999,2160764359.0,3109.045994,3270.555419,3109.045994,1893161,589626869.31,18000871.0269,0.12125939071207692,0.43284112713292794,0.04482768659883931,0.14179937460723965,0.05194822634071323
arbitrum,2025-01-31,6.583654204,3011498097,94792440.23,397260573.0,404856756.8,447461.2735,4803047.943,12750243.564,2120560954.0,3252.122301,3410.367343,3227.87599,1969086,896909770.03,18000752.7805,0.10568782211707803,0.44292144681032114,0.02485792005236189,0.26682483791472794,0.05611454186205893
arbitrum,2025-02-01,3.662650276,3032547937,55958079.56,262689762.5,271419007.94,293042.9747,1331055.86,6051777.642999999,2106919900.0,3302.883699,3323.26192,3123.677309,1892794,590066850.0,7675876.477699999,0.0948334575311255,0.4451864437054886,0.03817713528238113,0.17340767062458487,0.06042738079467562
arbitrum,2025-02-02,92.8854625,2938702641,117978838.8,404114647.5,469678946.2,354076.3465,5874298.312,13114175.899,2121986333.0,3139.882943,3155.898715,2836.414848,2888265,991772432.5,19342550.5575,0.11895757023877551,0.4074671106569601,0.0183055665511862,0.30369822710491834,0.1017502476365406
arbitrum,2025-02-03,362.9801016,2723562942,281868533.5,742623611.4,758227150.4,542242.3535,11995889.67,42971883.831999995,2133983777.0,2829.608062,2877.772457,2466.985112,3225615,1782719295.3,55510015.8555,0.15811156262409026,0.4165678878092973,0.009768369638220415,0.21610315697309304,0.14517464468547311
arbitrum,2025-02-04,21.40673272,2744766612,179168922.5,539089374.4,538261321.6,967775.1996,5262224.626,15638769.539,2175346088.0,2872.743828,2872.743828,2652.669411,2844276,1256519618.5,21868769.364600003,0.14259142464793914,0.4290337902113702,0.044253756737065546,0.24062737771235582,0.07660774164928438
arbitrum,2025-02-05,5.824740884,2648892934,104627211.0,383008273.7,363224462.13,98496.76731,3935176.401,8016453.965100001,2173916470.0,2728.940978,2810.089283,2722.354915,2397040,850859946.8299999,12050127.133410001,0.12296643106753773,0.4501425588628915,0.008173919347034053,0.32656721024041224,0.03214960261408772
arbitrum,2025-02-06,6.822169733,2706299345,98625279.55,315486727.1,322327369.37,1006384.033,5352729.672,8636261.105,2146085322.0,2786.040496,2843.037704,2689.64134,2281730,736439376.02,14995374.81,0.13392179011802535,0.4283947020934852,0.06711296288031897,0.3569587115908842,0.05505891397495312
arbitrum,2025-02-07,6.954953526,2703623352,97803088.19,307913266.1,326550402.86,737252.147,3624933.949,10765447.538,2187368093.0,2699.810468,2787.061683,2578.413295,2187564,732266757.1500001,15127633.634,0.1335621032021882,0.4204933012368415,0.048735457563104545,0.23962333017193163,0.07728260575067897
arbitrum,2025-02-08,2.743167588,2686797547,39222915.66,187838787.3,168265362.29999998,190699.1165,3497738.928,4522727.6621,2233060146.0,2640.313472,2645.669634,2604.266264,1748946,395327065.26,8211165.7066,0.09921636818416099,0.47514780496109366,0.02322436585912755,0.4259734918257191,0.01568123271690067
arbitrum,2025-02-09,5.217878094,2696538737,55360677.02,195758204.4,192780953.21,104158.6761,3393625.023,5653508.3553,2220488084.0,2634.150122,2669.817891,2587.938093,1728610,443899834.63,9151292.0544,0.12471434477137013,0.44099634450904596,0.011381854658427148,0.3708356156514886,0.031083952777084714
arbitrum,2025-02-10,4.923227724,2709366105,55035904.9,213328386.5,213925192.51999998,354936.2196,4466976.382,7803295.018999999,2232555270.0,2644.669354,2683.40991,2579.781303,1863807,482289483.91999996,12625207.6206,0.11411383978906973,0.44232435832124833,0.02811329763962583,0.3538140929034252,0.039183955772491494
arbitrum,2025-02-11,4.532932591,2733015021,59086244.24,221793579.7,228189439.51,76583.11726,2307462.663,4922831.4724,2264282601.0,2683.082474,2718.803083,2596.774226,1864990,509069263.45,7306877.252660001,0.11606720044256486,0.43568448465516957,0.010480963975701196,0.31579327025919174,0.04548084458174572
arbitrum,2025-02-12,15.46436943,2714596216,94468698.07,330599458.7,315234979.67,497962.1577,4494941.287,10155557.478,2285960280.0,2606.069689,2742.831786,2586.696018,1943976,740303136.44,15148460.922699999,0.1276081289136298,0.4465730893560713,0.032872128742386146,0.2967259386902019,0.05991235332617389
arbitrum,2025-02-13,4.884660238,2776883880,55590134.48,207306247.7,227726938.72,83058.9954,1865748.013,5149427.9253,2308992346.0,2729.589578,2741.588879,2628.894251,1857476,490623320.9,7098234.9337,0.11330512047006937,0.4225364732351434,0.011701359024574434,0.26284675421801895,0.04128629040361896
arbitrum,2025-02-14,4.699938926,2739584381,51357574.91,194609145.2,202191616.2,117738.9802,1910103.938,6550608.8668,2313666619.0,2672.290805,2777.416546,2672.290805,1826543,448158336.30999994,8578451.785,0.11459694208270836,0.4342419395840157,0.013724968461777046,0.22266301494401883,0.039339184494181514
arbitrum,2025-02-15,2.074995393,2762121796,21554524.54,91543503.45,89712651.08,26193.42311,1517982.956,3253813.7623,2296072958.0,2719.643707,2733.235007,2688.258095,1548377,202810679.07,4797990.141410001,0.10627904131498157,0.45137417748304964,0.005459249047623607,0.31637892352023583,0.01653779569883934
arbitrum,2025-02-16,2.250095734,2768004449,21578515.64,103834048.9,106759681.22999999,74562.68112,793469.7178,1692728.6384,2314643513.0,2699.625633,2714.407037,2668.090946,1531288,232172245.76999998,2560761.03732,0.09294183966061398,0.4472285158617218,0.02911739128850328,0.30985699416545975,0.017156486600896095
arbitrum,2025-02-17,7.651926486,2751895270,67154681.43,288498214.2,264391036.95,634014.043,1967264.584,44218528.548,2310764768.0,2668.9156,2803.056792,2662.548717,2018551,620043932.5799999,46819807.175,0.10830632782836805,0.4652867305701392,0.013541577406122668,0.0420177848372354,0.05264612901209755
arbitrum,2025-02-18,7.363467062,2776141662,68142346.33,290832250.3,304305274.39,210396.1876,2531081.384,11618684.683,1722571017.0,2735.303375,2735.303375,2626.049578,2365683,663279871.02,14360162.2546,0.10273543538297017,0.438475917945097,0.014651379550576016,0.17625715776221243,0.03994211318515989
arbitrum,2025-02-19,3.501359089,2735327279,39888786.59,193531428.3,208944398.5,177946.7712,1637578.924,7243667.3992,1688603096.0,2673.316439,2729.904297,2664.800354,1931671,442364613.39,9059193.0944,0.09017173929062229,0.4374930146805792,0.019642673397700174,0.18076432491678318,0.024353249787501145
arbitrum,2025-02-20,4.544088731,2772336148,41647044.75,180623306.9,198322294.10999998,368996.8974,3174412.47,56210585.081,1662642364.0,2719.201412,2756.337526,2719.201412,1892134,420592645.76,59753994.4484,0.09901990719486993,0.42944951301661105,0.0061752674579545275,0.05312469064710367,0.013656992761226144
arbitrum,2025-02-21,18.51693078,2825783638,96096050.27,418677071.1,461399612.4,264730.8438,10793501.37,14267046.530000001,1588188902.0,2740.742338,2825.091217,2632.475356,2224214,976172733.77,25325278.7438,0.09844164556704528,0.42889650224408565,0.010453225272586979,0.42619477081342716,0.07027871913729682
arbitrum,2025-02-22,4.177598319,2775019279,36585972.38,200173655.5,189101719.81,723706.0513,6865683.504,5330524.034,1578891377.0,2667.133387,2784.650832,2667.133387,1795338,425861347.69,12919913.5893,0.08591052599268123,0.47004419768500266,0.056014774889776214,0.531403206108593,0.04406133025547101
arbitrum,2025-02-23,2.908943376,2836230747,43598820.52,221732009.8,212148435.54999998,1421416.536,2951826.506,3174115.197,1675560846.0,2761.945981,2818.644555,2754.228412,1684035,477479265.87,7547358.239,0.09131039531226547,0.464380394394695,0.18833298897288503,0.3911072474003973,0.023322738186456922
arbitrum,2025-02-24,33.94918755,2873256689,106384699.6,429690955.1,499015062.5,779011.7623,7665949.18,10331684.589,1673974496.0,2826.810768,2826.810768,2526.941499,2540737,1035090717.2,18776645.5313,0.10277814092254521,0.41512395769749255,0.04148833512362019,0.4082704318628764,0.10608041839750054
arbitrum,2025-02-25,71.47030894,2659571909,127392797.9,542188635.5,604322614.9,1346899.765,4091794.211,14995021.406000001,1532629767.0,2505.51365,2512.021911,2386.724974,3291575,1273904048.3,20433715.382,0.10000187853237708,0.42561183177299744,0.06591555866469981,0.20024719609261318,0.05000848309088223
arbitrum,2025-02-26,39.87335997,2625765016,94337710.52,373124618.3,445019036.99,2856226.87,3350515.236,23640192.027000003,1635435924.0,2485.466382,2498.236315,2294.962488,2618939,912481365.81,29846934.133,0.10338590359733803,0.40891204169279805,0.0956958211276393,0.11225659630801182,0.08178498348323264
arbitrum,2025-02-27,9.215712786,2509190091,78613197.07,319078525.8,365697565.56,613549.9494,2125839.063,18573570.76,1638924415.0,2335.490343,2367.059323,2260.636039,2587529,763389288.4300001,21312959.772400003,0.10297917230627808,0.4179761631922064,0.028787646387553312,0.09974396262657677,0.04556785444177706
arbitrum,2025-02-28,65.87036651,2501206252,132816157.3,565084373.0,648577809.9,992789.1367,3775496.226,14580258.518,1649602764.0,2305.57916,2305.57916,2100.795721,3341880,1346478340.1999998,19348543.8807,0.09863965378029926,0.4196757988071794,0.051310793350723326,0.1951307679419754,0.08882082322430424
arbitrum,2025-03-01,3.364821694,2466576332,45431022.36,268438588.1,282932713.02,285882.9032,1185637.201,4020513.3984000003,1599905371.0,2232.577663,2269.703741,2159.466457,1974815,596802323.48,5492033.5026,0.07612407085664183,0.4497948106748547,0.052054107656965186,0.21588309693280344,0.04937668499821402
arbitrum,2025-03-02,66.54633784,2478600442,137370864.2,643732565.5,624206285.8100001,453126.2429,3272719.351,24330636.783999998,1570564731.0,2216.28492,2528.036997,2198.31778,2246775,1405309715.5100002,28056482.377899997,0.09775130897045481,0.45807166804250216,0.016150500864531975,0.11664752932740814,0.14877113227842578
arbitrum,2025-03-03,39.79939378,2665368818,105462161.1,501335258.7,604137310.86,885491.1968,3433922.287,10200619.412999999,1516228952.0,2492.964942,2492.964942,2121.897828,2868982,1210934730.6599998,14520032.896799998,0.0870915322104269,0.41400683786380094,0.06098410403706105,0.23649548946661036,0.14884570085542742
arbitrum,2025-03-04,71.53470093,2438426511,129152466.6,502138059.8,532067006.31,749391.2347,5847389.294,9471194.185,1450959625.0,2144.780939,2179.646005,2045.745013,3145924,1163357532.71,16067974.7137,0.1110170029149542,0.43162832206044793,0.04663881092998288,0.3639157640081642,0.06243108075290484
arbitrum,2025-03-05,8.896784393,2457347603,76994679.84,346390713.2,348410733.80999994,855450.5556,1712358.399,7387910.421,1476498386.0,2166.57264,2247.092824,2166.57264,2500616,771796126.8499999,9955719.375599999,0.099760386404432,0.4488111577000978,0.08592553921282506,0.17199745537190794,0.03716477468302193
arbitrum,2025-03-06,8.474589137,2517917677,81504512.28,312313732.4,343376867.88,389449.3463,1962254.274,5794290.254,1432224890.0,2244.526117,2304.887125,2197.72029,2425222,737195112.56,8145993.874299999,0.11056029929032714,0.42365138764343196,0.04780869618975329,0.2408858027982031,0.04774586233963612
arbitrum,2025-03-07,30.75993928,2480832798,136289892.4,495575723.0,554572077.9,329181.3755,3235095.79,5050676.029,1459033151.0,2165.306298,2210.990476,2134.176303,2765754,1186437693.3,8614953.1945,0.11487319828900451,0.4177005887444355,0.03821046592686744,0.375520994364237,0.03547496863189734
arbitrum,2025-03-08,3.696837134,2457745645,41666959.3,194925877.2,197699880.32,233032.191,1066006.702,2700810.7341,1437163341.0,2140.107656,2222.356098,2133.846802,2248846,434292716.82,3999849.6271,0.09594210928770786,0.4488352432601128,0.05826023794023344,0.26651169453409773,0.04135740356418788
arbitrum,2025-03-09,15.27142463,2495462265,72999387.41,273655270.3,300966761.0,633716.3229,2994577.759,6486146.422300001,1425700046.0,2207.493155,2207.493155,2015.852737,2679565,647621418.71,10114440.5042,0.11271922963173114,0.42255438500643655,0.06265460977667037,0.29606954114332945,0.08681359557828398
arbitrum,2025-03-10,98.16400792,2350397085,121807099.1,451920865.6,524981830.88,1154360.188,4189597.86,18214588.08,1442526499.0,2020.56756,2122.160862,1853.865198,3345762,1098709795.58,23558546.128,0.11086376001198663,0.411319592687744,0.04899963612898889,0.17783770854265682,0.13278232775349527
arbitrum,2025-03-11,53.10368271,2266983666,101632139.7,408342171.7,464697267.66,668811.9834,3629562.164,8945791.811,1445692376.0,1835.782696,1953.283696,1812.990214,3103672,974671579.06,13244165.9584,0.10427321559741881,0.41895360496077705,0.05049861089786569,0.2740498854665877,0.07642161695155233
arbitrum,2025-03-12,15.57755323,2332860829,83984351.4,317298154.1,387576838.72,596086.8719,1323358.559,5487882.124,1511602464.0,1917.929716,1921.750522,1856.028895,2716839,788859344.22,7407327.5549,0.10646302413143266,0.4022239914185649,0.08047259520819817,0.1786553313852833,0.03426696320085596
arbitrum,2025-03-13,8.039227572,2363162649,60189709.74,206494939.0,280838691.28,556706.6996,10344469.26,2861256.9591,1666711950.0,1906.753027,1906.753027,1842.978881,2356141,547523340.02,13762432.9187,0.10993085653262084,0.3771436282377609,0.040451183514476054,0.7516453901071686,0.033446463751175666
arbitrum,2025-03-14,6.023081169,2344809018,46660331.89,140771029.7,197930218.08,454290.5495,781551.3749,5825133.677800001,1674479022.0,1870.457048,1938.250112,1870.457048,1995912,385361579.66999996,7060975.602200001,0.12108195095618263,0.36529596391147157,0.06433821260598266,0.11068603248770477,0.036244116951248996
arbitrum,2025-03-15,2.989148108,2382384414,17695502.75,75771361.48,128488887.49000001,445572.5973,7799605.857,2916532.2958,1662299332.0,1915.759043,1948.707607,1911.042849,1672475,221955751.72000003,11161710.7501,0.07972536243315334,0.3413804818880591,0.03991974055554235,0.6987822952615146,0.019660488169231688
arbitrum,2025-03-16,5.143669794,2400599394,38838113.73,118672710.5,212234058.95,124574.1502,5492663.617,1631218.7582,1659385504.0,1940.303616,1940.303616,1881.952158,1987124,369744883.17999995,7248456.5254,0.1050403007499978,0.32095835777185727,0.01718630025074552,0.7577700987448348,0.03007336455945659
arbitrum,2025-03-17,5.503555395,2360853172,41301604.47,133051886.9,202471676.67000002,1090788.831,5657160.538,3967364.7003,1683431671.0,1895.527716,1947.512068,1893.351412,2111143,376825168.04,10715314.0693,0.10960415591353449,0.3530865191198602,0.10179718708620718,0.5279509775833912,0.028572864191240353
arbitrum,2025-03-18,4.742625477,2380675941,37966713.0,131233672.6,207235746.37,1104451.538,1166968.586,4514305.9152,1677136107.0,1927.296213,1928.639076,1882.035573,2150729,376436131.97,6785726.0391999995,0.10085831240829386,0.3486213502227215,0.16276099736708627,0.17197402006190912,0.0241807682107451
arbitrum,2025-03-19,13.1878971,2413479038,77568069.91,268092818.7,328093335.78,541573.9474,6884811.15,6293402.432999999,1714238874.0,1938.956729,2054.070842,1932.369884,2278807,673754224.39,13719787.5304,0.11512813887026559,0.3979089243451118,0.03947393107947134,0.5018161640437061,0.0627662062694748
arbitrum,2025-03-20,5.141590658,2488604383,45304602.89,143929116.7,240406101.22,790006.5896,1610371.196,4136143.9064,1681746286.0,2047.873669,2047.873669,1965.096364,2040223,429639820.80999994,6536521.692,0.10544786748255139,0.3349994803290124,0.1208603943848122,0.24636515747678484,0.04042109933491218
arbitrum,2025-03-21,3.855551264,2422421309,38229015.36,121947214.5,206185654.76,97973.33346,263377.3666,4342578.62,1800001100.0,1986.366222,1991.237505,1948.859847,1889355,366361884.62,4703929.32006,0.10434768725914847,0.33285999340921285,0.02082797737674135,0.05599092772861659,0.021334262297982284
arbitrum,2025-03-22,3.47118145,2416389952,13941042.76,71238719.3,131285844.82,85348.24211,563804.1215,2904918.7728,1836877807.0,1974.224452,2000.978793,1974.224452,1766082,216465606.88,3554071.13641,0.06440303825137618,0.3290994829469235,0.02401421885894244,0.15863613863100776,0.013551823336448103
arbitrum,2025-03-23,3.429166604,2392306046,26868827.16,87245880.09,291467381.1,417186.8581,5009302.126,1471689.3246,1838760509.0,1986.286715,2018.567343,1986.286715,1789081,405582088.35,6898178.3087,0.06624756844985065,0.2151127542267363,0.060477830440225484,0.7261775358404777,0.016251746415169462
arbitrum,2025-03-24,5.769205497,2420144954,51733049.43,181380225.9,224475254.78,1353167.909,570862.5991,5496142.113,1819136965.0,2007.909085,2094.651424,1987.593317,2284538,457588530.11,7420172.6211,0.11305582641584976,0.3963828067464844,0.18236340016566896,0.07693387044348474,0.05331820439469751
arbitrum,2025-03-25,5.521317975,2465218848,66129906.47,221364222.7,319047720.36,208828.5191,1162791.608,4037030.6758000003,1539268134.0,2085.955298,2085.955298,2045.363444,2273412,606541849.53,5408650.8029000005,0.10902777198513681,0.3649611694090552,0.03861009458921451,0.2149873693780594,0.01945959917689463
arbitrum,2025-03-26,6.698919006,2467402481,40055797.54,126883693.6,159472931.75,154568.9238,2647628.84,3330277.6469,1377389652.0,2069.792703,2074.189931,1995.37154,2329944,326412422.89,6132475.4107,0.1227152973693611,0.38872201148655244,0.025204980607065573,0.4317390063041089,0.038080330888092706
arbitrum,2025-03-27,5.589529616,2430905648,34528808.47,118165041.4,170652902.2,1766709.666,1481160.375,1361198.4697,909207164.0,2013.599098,2032.734362,2003.627007,2381650,323346752.07,4609068.5107,0.1067856975490046,0.36544372455740315,0.38331165221314567,0.32135785605301176,0.014455387385160555
arbitrum,2025-03-28,11.39096398,2423262539,56487432.47,168871779.7,228569831.8,619764.9375,2988197.031,4385878.4393,944863152.0,2000.92604,2010.499575,1874.041201,2485113,453929043.97,7993840.4078,0.12444110642484738,0.372022416153571,0.07753031157530535,0.3738124454028708,0.06819761014255182
arbitrum,2025-03-29,8.73631461,2358920051,36276676.39,105661714.7,140468504.55,173838.7406,1075008.403,3843079.9139,1139177658.0,1905.172813,1907.818185,1818.150516,2699267,282406895.64,5091927.0575,0.12845534917902263,0.3741470776078108,0.034140068904551464,0.2111201497705272,0.047065372961523654
arbitrum,2025-03-30,6.170122522,2324627826,31006985.34,92658702.34,122308100.48,74449.65566,1036871.885,2716473.0567,1177001986.0,1824.481196,1847.145279,1796.730805,2379379,245973788.16000003,3827794.59736,0.12605808761960727,0.37670153000094364,0.019449752008989026,0.2708797085703403,0.027632224497862217
arbitrum,2025-03-31,10.42064732,2303089618,58576201.26,157165912.8,193281850.55,440727.2135,1754358.442,3363278.0607000003,1203681616.0,1799.996745,1844.284535,1791.445356,2873654,409023964.61,5558363.7162,0.14320970487842144,0.3842462212448995,0.07929081938547648,0.3156249809430202,0.0293551525283453
arbitrum,2025-04-01,10.03804855,2319351830,59068586.93,171556428.9,203332181.42,305097.3896,1373881.479,4097867.126,1112553393.0,1826.380427,1917.849377,1826.380427,2455649,433957197.25,5776845.9946,0.13611615916113257,0.3953302998248637,0.05281383472663019,0.23782553322076752,0.050082090591742824
arbitrum,2025-04-02,32.64840478,2350475777,107463092.3,277647898.8,335925128.62,1366644.553,2037629.205,5391782.3857,1098458943.0,1901.024614,1906.557203,1794.24378,2940601,721036119.72,8796056.1437,0.14903981834048916,0.3850679476470874,0.15537014892507617,0.23165259199253876,0.05908046753991164
